"country","ceoQoL","hdi2019","numbeoQoL","usNewsQoL"
"Slovenia","76.7700","0.9170","165.7400","54"
"Solomon Islands","","0.5670","",""
"South Africa","77.9400","0.7090","131.3700",""
"South Korea","89.6700","0.9160","124.7300","18"
"South Sudan","35.5200","0.4330","",""
"Spain","87.6200","0.9040","163.4800","19"
"Sri Lanka","73.1600","0.7820","75.5200","58"
"Sudan","31.6700","0.5100","",""
"Suriname","36.6500","0.7380","",""
"Sweden","96.1500","0.9450","170.1900","3"
"Switzerland","94.4000","0.9550","188.3600","5"
"Syria","31.5500","0.5670","",""
"Tajikistan","41.6000","0.6680","",""
"Tanzania","75.1100","0.5290","",""
"Thailand","82.6900","0.7770","100.3000","29"
"Timor-Leste","","0.6060","",""
"Togo","40.9500","0.5150","",""
"Tonga","","0.7250","",""
"Trinidad and Tobago","","0.7960","",""
"Tunisia","79.5400","0.7400","","66"
"Turkey","78.7200","0.8200","124.1900","40"
"Turkmenistan","70.5500","0.7150","",""
"Uganda","73.2100","0.5440","",""
"Ukraine","78.8600","0.7790","107.8000","61"
"United Arab Emirates","83.7900","0.8900","156.9400","24"
"United Kingdom","90.6800","0.9320","156.9400","14"
"United States","89.1100","0.9260","163.6000","20"
"Uruguay","76.5600","0.8170","122.4200","55"
"Uzbekistan","74.7900","0.7200","","76"
"Vanuatu","","0.6090","",""
"Venezuela","73.6600","0.7110","",""
"Vietnam","78.4900","0.7040","88.9000","32"
"Yemen","69.4300","0.4700","",""
"Zambia","","0.5840","",""
"Zimbabwe","70.6400","0.5710","",""
